University Id;Faculty Name
1124;Havacýlýk ve Uzay Bilimleri Fakültesi
1124;Mimarlýk ve Tasarým Fakültesi
1124;Mühendislik Fakültesi
2014;Eðitim Fakültesi
2014;Hukuk Fakültesi
2014;Ýktisadi ve Ýdari Bilimler Fakültesi
2014;Ýnsan ve Toplum Bilimleri Fakültesi
2014;Ýslami Ýlimler Fakültesi
2014;Mühendislik Fakültesi
2090;Eczacýlýk Fakültesi
2090;Ýletiþim Fakültesi
2090;Mühendislik ve Mimarlýk Fakültesi
2090;Saðlýk Bilimleri Fakültesi
1039;Diþ Hekimliði Fakültesi
1039;Eczacýlýk Fakültesi
1039;Eðitim Fakültesi
1039;Fen Fakültesi
1039;Ýktisadi ve Ýdari Bilimler Fakültesi
1039;Ýlahiyat Fakültesi
1039;Ýletiþim Fakültesi
1039;Ýnsan ve Toplum Bilimleri Fakültesi
1039;Mimarlýk Fakültesi
1039;Mühendislik Fakültesi
1039;Saðlýk Bilimleri Fakültesi
1039;Sivil Havacýlýk Yüksekokulu
1039;Spor Bilimleri Fakültesi
1039;Su Ürünleri Fakültesi
1039;Teknoloji Fakültesi
1039;Týp Fakültesi
1039;Veteriner Fakültesi
1040;Fen-Edebiyat Fakültesi
1040;Hukuk Fakültesi
1040;Ýktisadi ve Ýdari Bilimler Fakültesi
1040;Ýletiþim Fakültesi
1040;Mühendislik ve Teknoloji Fakültesi
1041;Diþ Hekimliði Fakültesi
1041;Eczacýlýk Fakültesi
1041;Fen Fakültesi
1041;Gazi Eðitim Fakültesi
1041;Hemþirelik Fakültesi
1041;Mimarlýk Fakültesi
1041;Mühendislik Fakültesi
1041;Saðlýk Bilimleri Fakültesi
1041;Teknoloji Fakültesi
1041;Týp Fakültesi
1041;Uygulamalý Bilimler Fakültesi
1112;Güzel Sanatlar Tasarým ve Mimarlýk Fakültesi
1112;Ýslami Ýlimler Fakültesi
1112;Mühendislik ve Doða Bilimleri Fakültesi
1112;Saðlýk Bilimleri Fakültesi
1112;Týp Fakültesi
1042;Diþ Hekimliði Fakültesi
1042;Fen-Edebiyat Fakültesi
1042;Gaziantep Eðitim Fakültesi
1042;Güzel Sanatlar Fakültesi
1042;Havacýlýk ve Uzay Bilimleri Fakültesi
1042;Hukuk Fakültesi
1042;Ýktisadi ve Ýdari Bilimler Fakültesi
1042;Ýlahiyat Fakültesi
1042;Ýletiþim Fakültesi
